PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Pandya, U; Maheshwari, DK; Saraf, M				Pandya, Urja; Maheshwari, Dinesh K.; Saraf, Meenu			Assessment of ecological diversity of rhizobacterial communities in vermicompost and analysis of their potential to improve plant growth	BIOLOGIA												Present study was designed to determine the microbial diversity from three distinctive sites (amended with vermicompost) of Gujarat, India. A set of 76 strains were screened from total of 438 strains that exhibit plant growthpromoting (PGP) and antagonistic potential isolated from sites PS1 (Mehsana district), BS2 (Dantiwada district) and VS3 (Gandhinagar district). Their diversity indices were studied for determining the species richness and evenness of screened isolates. Results revealed that site BS2 showed the most significant diversity indices in terms of Shannon (H' 1.525) and Simpson (1/D 5.120) than other two samples. Principal component analysis showed that bacterial diversity (H') was correlated with the soil characteristics. Chickpea and groundnut plants inoculated with MBCU1 and MBCU3 isolates showed an increase in the vegetative growth parameters that evaluate plant growth when compared to uninoculated controls. Strains MBCU1 and MBCU3 were identified as Pseudomonas stutzeri and Pseudomonas mosselii, respectively, according to sequence analysis of the 16S rRNA gene. These both isolates belong to site BS2 and they showed specific PGP traits suggesting that these isolates can promote plant growth by more than one mechanism with respect to their higher diversity index.					Maheshwari, D K/AAC-3451-2020	Maheshwari, D K/0000-0002-2532-7515; Saraf, Meenu/0000-0003-4964-9452													0006-3088	1336-9563				AUG	2014	69	8					968	976		10.2478/s11756-014-0406-4	http://dx.doi.org/10.2478/s11756-014-0406-4													WOS:000340583100003
J	Khan, BN; Ali, Z				Khan, B. N.; Ali, Z.			ASSESSMENT OF BIRDS' FAUNA, OCCURRENCE STATUS, DIVERSITY INDICES AND ECOLOGICAL THREATS AT MANGLA DAM, AJK FROM 2011 TO 2014	JOURNAL OF ANIMAL AND PLANT SCIENCES-JAPS												The field surveys of Mangla Dam AJK were conducted to measure its avian diversity between May 2011 and April 2014. The study was undertaken to determine the birds' fauna occurrence status, diversity indices and ecological threats to their conservation. Point count method was used for data collection. Findings of the research revealed that maximum account of 57892 birds of 188 species belonging to 57 families and representing 17 orders were observed during May 2011to April 2012. A steady decline in birds' population was noticed while diversity of the order Passeriformes was highest on dam. The Maximum values of diversity indices were also recorded in study year 2011-2012 i.e. Shannon-Weiner Diversity Index (H') was 3.41; Census Index (CI) was 218/Km(2), Simpson's Diversity Index (D) was 0.95 and evenness of birds was 0.65. According to ranking of birds occurrence status for the Mangla Dam 15 species were very abundant, 11 were abundant, very common were 41, common were 42, fairly common were 64, uncommon were 5 and 2were rare. The season wise distribution of bird's species shown that 71 percent were year around resident, summer breeders were13 percent, winter migrants were 64 percent and 29 percent were passage migrants. The most dominant species of study area were Common Pochard Aythyaferina (n=5011), Common Coots Fulicaatra (n=4782), Little Cormorant Phalacrocoraxniger (n=4764), Garganey Anasquerquedula(n=3863) Mallard Anasplatyrhynchos (n=3841), Northern ShovelerAnasclypeata(n=3743) Tufted DuckAythyafuligula(n=3393) Northern Pintail Anasacuta (n=3261) and Gadwall Anasstrepera(n=2971). The major threats observed including illegal hunting, trapping, unsustainable fisheries practices, deforestation in dam catchment area and water pollution.					Ali, Zulfiqar/AAF-9771-2019	Ali, Zulfiqar/0000-0002-3111-003X													1018-7081	2309-8694					2015	25	3		2	SI		397	403																WOS:000367732200017
J	Pan, JF; Zhang, LG; Wang, L; Fu, SL				Pan, Junfeng; Zhang, LiGan; Wang, Li; Fu, Songling			Effects of long-term fertilization treatments on the weed seed bank in a wheat-soybean rotation system	GLOBAL ECOLOGY AND CONSERVATION												Controlling weed populations by manipulating their seed banks is an important weed management option. To assist such efforts, we investigated relationships between fertilization treatments and depth-related characteristics of the weed seed bank (density, species composition and diversity) under a wheat-soybean rotation after long-term (16 years) fertilization. Numbers of weed species present and the Shannon-Wiener index were significantly lower under NPK, NP, NK, and PK fertilization treatments than under the fertilization-free control treatment (CK), and the vertical distribution of dominant species differed under the treatments. Generally, the species richness and Shannon-Wiener index decreased and the Pielou index increased with increases in soil depth, but the relationship of the Simpson index with depth was complex and unclear. The results show that effects of considered fertilization treatments on weeds warrant careful attention, and that PK fertilization would be optimal for suppressing weeds in the wheat-soybean rotation system studied. (C) 2019 Published by Elsevier B.V.					Wang, Li/AHB-5544-2022	Wang, Li/0000-0002-6565-5660														2351-9894				MAR	2020	21								e00870	10.1016/j.gecco.2019.e00870	http://dx.doi.org/10.1016/j.gecco.2019.e00870													WOS:000517814100062
J	JESCHKE, N; NELSON, PE; MARASAS, WFO				JESCHKE, N; NELSON, PE; MARASAS, WFO			FUSARIUM SPECIES ISOLATED FROM SOIL SAMPLES COLLECTED AT DIFFERENT ALTITUDES IN THE TRANSKEI, SOUTHERN AFRICA	MYCOLOGIA												Fusarium species were isolated from soil samples and soil debris obtained at altitudes of 1400, 1100, 800, 500, 250, and 0 m in the Republic of Transkei. Nineteen species of Fusarium were isolated representing sections Eupionnotes, Sporotrichiella, Discolor, Gibbosum, Arthrosporiella, Liseola, Elegans, Martiella, and Lateritium. Fusarium oxysporum, F. equiseti, F. semitectum, F. nygamai, and F. solani were isolated most frequently and F. oxysporum was the predominant species isolated from all samples. Other species recovered were F. chlamydosporum, F. merismoides, F. lateritium, F. culmorum, F. compactum, F. dlamini, F. poae, F. proliferatum, F. moniliforme, F. graminearum, F. sambucinum, F. napiforme, and three unknown populations. Using Simpson's index, the diversity indices calculated for Fusarium species from debris and soil from each sampling site indicate that overall debris was a greater source of species diversity than soil. Diversity indices calculated for each altitude sample and each isolation technique showed that the sea level site yielded the most diverse population.																			0027-5514					NOV-DEC	1990	82	6					727	733		10.2307/3760159	http://dx.doi.org/10.2307/3760159													WOS:A1990EQ56900006
J	Momeni, E; Antipova, A				Momeni, Ehsan; Antipova, Anzhelika			A micro-level analysis of commuting and urban land using the Simpson?s index and socio-demographic factors	APPLIED GEOGRAPHY												This study explores the association between urban form, socio-demographics, and travel behavior for 1990, 2000, and 2010 in Shelby County, Tennessee, at a micro-level using U.S. Census tracts capturing active and passive transportation modes. We used bivariate correlations between land use and land cover mix (estimated separately by Simpson's index), population, race, age, education, and commuting modes. Major findings indicate that land use mix is positively related to public transportation use while the land cover mix is negatively related; the opposite is found for both diversity measures and working from home. Greater land cover diversity discourages walking and biking and encourages car commuting; Blacks are the majority who use public transportation; older travelers are more likely to use transportation alternatives; higher-educated people tend to work from home or commute by bike. This study helps city planners in designing sustainable cities and increasing active modes use. Understanding travel patterns may help policymakers to control local/regional problems like increasing traffic congestions and emissions due to a modal shift in commuting to a private car during a COVID19 pandemic, as well as develop strategies for encouraging active modes and public transport use in the postCOVID-19 world.					Momeni, Ehsan/AGV-6283-2022	Momeni, Ehsan/0000-0003-0140-865X; Antipova, Angela/0000-0001-8232-6888													0143-6228	1873-7730				2022 AUG	2022	145								102755	10.1016/j.apgeog.2022.102755	http://dx.doi.org/10.1016/j.apgeog.2022.102755		JUL 2022											WOS:000827388300005
J	Li, XG; Liu, B; Wang, XX; Han, ZM; Cui, JJ; Luo, JY				Li, Xiaogang; Liu, Biao; Wang, Xingxiang; Han, Zhengmin; Cui, Jinjie; Luo, Junyu			Field trials to evaluate effects of continuously planted transgenic insect-resistant cottons on soil invertebrates	JOURNAL OF ENVIRONMENTAL MONITORING												Impacts on soil invertebrates are an important aspect of environmental risk assessment and post-release monitoring of transgenic insect-resistant plants. The purpose of this study was to research and survey the effects of transgenic insect-resistant cottons that had been planted over 10 years on the abundance and community structure of soil invertebrates under field conditions. During 3 consecutive years (2006-2008), eight common taxa (orders) of soil invertebrates belonging to the phylum Arthropoda were investigated in two different transgenic cotton fields and one non-transgenic cotton field (control). Each year, soil samples were taken at four different growth stages of cotton (seedling, budding, boll forming and boll opening). Animals were extracted from the samples using the improved Tullgren method, counted and determined to the order level. The diversity of the soil fauna communities in the different fields was compared using the Simpson's, Shannon's diversity indices and evenness index. The results showed a significant sampling time variation in the abundance of soil invertebrates monitored in the different fields. However, no difference in soil invertebrate abundance was found between the transgenic cotton fields and the control field. Both sampling time and cotton treatment had a significant effect on the Simpson's, Shannon's diversity indices and evenness index. They were higher in the transgenic fields than the control field at the growth stages of cotton. Long-term cultivation of transgenic insect-resistant cottons had no significant effect on the abundance of soil invertebrates. Collembola, Acarina and Araneae could act as the indicators of soil invertebrate in this region to monitor the environmental impacts of transgenic plants in the future.					li, xiaogang/ABH-2977-2020														1464-0325	1464-0333				MAR	2012	14	3					1055	1063		10.1039/c2em10378h	http://dx.doi.org/10.1039/c2em10378h								22334084					WOS:000300875100035
J	Xie, XH; Huang, YJ; Han, GS; Yu, ZG; Ma, YL				Xie, Xian-hua; Huang, Yu-jie; Han, Guo-sheng; Yu, Zu-guo; Ma, Yuan-lin			Microbial characterization based on multifractal analysis of metagenomes	FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY												IntroductionThe species diversity of microbiomes is a cutting-edge concept in metagenomic research. In this study, we propose a multifractal analysis for metagenomic research. Method and ResultsFirstly, we visualized the chaotic game representation (CGR) of simulated metagenomes and real metagenomes. We find that metagenomes are visualized with self-similarity. Then we defined and calculated the multifractal dimension for the visualized plot of simulated and real metagenomes, respectively. By analyzing the Pearson correlation coefficients between the multifractal dimension and the traditional species diversity index, we obtain that the correlation coefficients between the multifractal dimension and the species richness index and Shannon diversity index reached the maximum value when q = 0, 1, and the correlation coefficient between the multifractal dimension and the Simpson diversity index reached the maximum value when q = 5. Finally, we apply our method to real metagenomes of the gut microbiota of 100 infants who are newborn and 4 and 12 months old. The results show that the multifractal dimensions of an infant's gut microbiomes can distinguish age differences. Conclusion and DiscussionThere is self-similarity among the CGRs of WGS of metagenomes, and the multifractal spectrum is an important characteristic for metagenomes. The traditional diversity indicators can be unified under the framework of multifractal analysis. These results coincided with similar results in macrobial ecology. The multifractal spectrum of infants' gut microbiomes are related to the development of the infants.																			2235-2988					JAN 26	2023	13								1117421	10.3389/fcimb.2023.1117421	http://dx.doi.org/10.3389/fcimb.2023.1117421								36779183					WOS:000931289100001
J	Camilo, GD; Terra, BD; Araújo, FG				Camilo, Geysa da Silva; Terra, Bianca de Freitas; Araujo, Francisco Gerson			Using the relationship between taxonomic and functional diversity to assess functional redundancy in streams of an altered tropical watershed	ENVIRONMENTAL BIOLOGY OF FISHES												The relationship between taxonomic and functional diversity indices has been used to better describe and understand the structure of biological communities. Functional diversity is expected to have an asymptotic relationship with species richness because at some point, the addition of new species will increase some of the already established functional groups (functional redundancy). However, the asymptotic relationship may not be reached in intermediately disturbed systems once many intolerant species that would have played a redundant role or even represented some functional groups have been lost. This study aimed to address such a relationship (taxonomic and functional indices) and to evaluate the functional redundancy in intermediately disturbed streams in the Atlantic Rainforest domain. We expected a positive linear relationship between taxonomic and functional diversity; however, we did not expect to find an asymptotic relationship between richness and functional diversity because of the loss of many intolerant species caused by anthropogenic uses. The taxonomic diversity indices were Species Richness (SR) and Simpson's Diversity (SD), while the functional diversity indices were the Functional Richness (FRic) and Functional Dispersion (FDisp). The two taxonomic and two functional diversity indices showed a significant positive relationship that never reached an asymptote, suggesting low functional redundancy in the fish communities. Our results indicate that care is needed in the management of the studied streams because assemblies with low functional redundancy are more susceptible to loss of functions in the case of species loss.					de Freitas Terra, Bianca/D-5004-2015	de Freitas Terra, Bianca/0000-0003-0229-2388; Araujo, Francisco Gerson/0000-0003-4551-1974													0378-1909	1573-5133				SEP	2018	101	9					1395	1405		10.1007/s10641-018-0786-3	http://dx.doi.org/10.1007/s10641-018-0786-3													WOS:000440766900008
J	Grzes, IM				Grzes, Irena M.			Ant species richness and evenness increase along a metal pollution gradient in the Boleslaw zinc smelter area	PEDOBIOLOGIA												Ants are considered to be relatively resistant to metal pollution, but the effect of metal toxicity on ant communities is poorly understood. This work examined the relationship between ant species diversity and heavy metal pollution at 16 meadow and forest sites along a metal contamination gradient in a mining and smelting region near Olkusz, Poland. Menhinick's index was used to estimate species richness. Pielou's index of evenness (J), Simpson's index of diversity (D) and the slopes of rank-abundance curves were used to estimate of species evenness. Regardless of species composition differences between forest and meadow, the increase in species diversity with increasing metal. pollution was very clear in both ecosystems. The more polluted the site, the more species were detected and the more similar in relative abundance they were. Consequently, the extent to which one or a few species dominated a community decreased. This result can be explained by indirect effects of metal pollution, that is, changes in species interactions rather than by changes in abiotic conditions. (C) 2009 Elsevier GmbH. All rights reserved.					Grześ, Irena M./AEH-2433-2022	Grześ, Irena M./0000-0002-1926-4730													0031-4056						2009	53	1					65	73		10.1016/j.pedobi.2009.03.002	http://dx.doi.org/10.1016/j.pedobi.2009.03.002													WOS:000270960100006
J	Zhao, J; Wan, SZ; Zhang, CL; Liu, ZF; Zhou, LX; Fu, SL				Zhao, Jie; Wan, Songze; Zhang, Chenlu; Liu, Zhanfeng; Zhou, Lixia; Fu, Shenglei			Contributions of Understory and/or Overstory Vegetations to Soil Microbial PLFA and Nematode Diversities in Eucalyptus Monocultures	PLOS ONE												Ecological interactions between aboveground and belowground biodiversity have received many attentions in the recent decades. Although soil biodiversity declined with the decrease of plant diversity, many previous studies found plant species identities were more important than plant diversity in controlling soil biodiversity. This study focused on the responses of soil biodiversity to the altering of plant functional groups, namely overstory and understory vegetations, rather than plant diversity gradient. We conducted an experiment by removing overstory and/or understory vegetation to compare their effects on soil microbial phospholipid fatty acid (PLFA) and nematode diversities in eucalyptus monocultures. Our results indicated that both overstory and understory vegetations could affect soil microbial PLFA and nematode diversities, which manifested as the decrease in Shannon-Wiener diversity index (H') and Pielou evenness index (J) and the increase in Simpson dominance index (lambda) after vegetation removal. Soil microclimate change explained part of variance of soil biodiversity indices. Both overstory and understory vegetations positively correlated with soil microbial PLFA and nematode diversities. In addition, the alteration of soil biodiversity might be due to a mixing effect of bottom-up control and soil microclimate change after vegetation removal in the studied plantations. Given the studied ecosystem is common in humid subtropical and tropical region of the world, our findings might have great potential to extrapolate to large scales and could be conducive to ecosystem management and service.					Fu, Shenglei/B-2729-2012; Liu, Zhanfeng/ABD-3933-2021; Zhou, Li/GSE-4531-2022; 周, 丽敏/JEO-3613-2023	Liu, Zhanfeng/0000-0002-6602-6196; 													1932-6203					JAN 10	2014	9	1							e85513	10.1371/journal.pone.0085513	http://dx.doi.org/10.1371/journal.pone.0085513								24427315					WOS:000329868200056
J	UHERCIKOVA, E				UHERCIKOVA, E			APPLICATION OF SOME ECOLOGICAL INDEXES FOR CHARACTERISTICS OF 2 TYPES OF FLOODPLAIN FOREST IN INUNDATION ZONE OF THE DANUBE	EKOLOGIA-BRATISLAVA												The floodplain forests on two model areas on the Danube river sides were studied from the aspect of their present state, species richness, structure, dynamics, and ecological conditions. To identify the deciding environment gradient the data from the parallel phytocoenological and pedological observations were subjected to the canonical correspondence analysis carried out by the program CANOCO. The forest stands were differentiated according to the content of humus and granulometric composition of the soil. The analysis carried out by the program Fytan was one of the methods used for evaluation of ecological conditions by means of the Ellenberg's indication values. Its results confirm a relatively high habitat variability and, when comparing with the literature data, also a lower humidity. The Simpson's index of diversity lambda, Shannon-Weaver's index H', species richness index R1 (Margalef) and R2 (Menhinick) and indices of evenness E1 - E3 were used for evaluation of species richness and diversity of the studied stands. The individual diversity indices fluctuated within the following limits: H': 2.53-2.66, lambda: 4.85- 5.45, R1. 3.92-4.15, R2: 2.31-2.41.																									1995	14	2					151	170																WOS:A1995RE87400005
J	Wang, L; Liu, B; Li, HY; Liang, XP; Li, LL; Li, ZY; Han, WX				Wang, Lin; Liu, Bei; Li, Haiyan; Liang, Xiaoping; Li, Lulu; Li, Zhiying; Han, Wenxia			EFFECTS OF DIFFERENT HYDROGEN CONCENTRATIONS ON RHIZOSPHERE BACTERIA OF SOYBEAN (GLYCINE MAX L.)	BANGLADESH JOURNAL OF BOTANY												Effects of hydrogen concentrations on the diversity and changes of bacterial community structure, soybean rhizosphere soil samples were investigated. The high-throughput sequencing technology of illumina was adopted to determine the bacterial 16S rRNA V3+V4 region series. Data processing such as splicing, filtering, removing chimeric sequences, and cluster analysis was then performed based on the raw data, and the tax was annotated with OTU. When the air-treated soil samples were compared with the ones treated with hydrogen at a concentration of 1100 ppm and 1300 ppm, the abundance of Proteobacteria increased and Actinobacteria decreased for the later. In addition the Simpson index decreased and the Shannon index increased significantly for both hydrogen-treated samples. However, for the soil sample treated with 1500 ppm of hydrogen, the above-mentioned two indexes didnot vary obviously compared with the air-treated sample. The results demonstrated that the rhizosphere bacterial structure diversity of soybean was significantly increased after hydrogen treatment at the concentration of 1100 and 1300 ppm.					Lu, Lu/JPE-5187-2023; zhang, lin/IZQ-4870-2023														0253-5416	2079-9926				SEP	2021	50	3					775	780		10.3329/bjb.v50i0.56428	http://dx.doi.org/10.3329/bjb.v50i0.56428													WOS:000728966800007
C	Chen, YR; Yin, LK; Bai, X; Wang, LT		Feng, CG; Huang, P; Shen, A; Wang, YJ; Li, SC; Su, Q		Chen Yanrui; Yin Linke; Bai Xu; Wang Leitao			Analysis on diversity of the wind-breaking and sand-fixing forest in peripheral regions of Oasis	PROCEEDINGS OF THE CHINA ASSOCIATION FOR SCIENCE AND TECHNOLOGY, VOL 4, NO 3					Annual Conference of the China-Association-for-Science-and-Technology	SEP 08-14, 2007	Wuhan, PEOPLES R CHINA	China Assoc Sci & Technol				The aim of this study was to characterize the diversity of artificial vegetation and provide evidence of reasonable distributional patterns for the artificial wind-breaking and sand-fixing forest in the periphery of oasis, in the lower reaches of the Tarim River, Xinjiang, China. The species diversity of artificial-natural plant community four years later was calculated by the measurable description of species richness index, Simpson index, and Shannon-Wiener diversity index, community evenness. The main results are as follows: (1) The artificial-natural communities are formed since several native species naturally occurred or invaded to the artificial communities in four years. (2)The species diversity is obviously increased in the artificial-natural communities. And there are all 26 species belonging to 12 families, 25 genera in the study communities, including 3 species of arbor, 9 species of shrub or semi-shrub, and 13 kinds of herbage, 1 vine species. (3)The variety range of Shannon-Wiener index (H') is 2.08-3.99 in 9 communities, and its trend is similar to that of richness changes. (4)Comm. Halogeton glomeratus+Karelinia caspica has the highest diversity and evenness indices while Comm. Calligonum caput-medusae+Populus euphratica is on the contrary. The results may provide the relevant theories for the further optimization species composition of the wind-breaking and sand-fixing forest and enhancement the stability of artificial plant community in the ecological fragile area.																					978-7-03-021073-9				2008							181	184																WOS:000256004300040
C	Danese, M; Gioia, D; Amodio, AM; Corrado, G; Schiattarella, M		Gervasi, O; Murgante, B; Misra, S; Garau, C; Blecic, I; Taniar, D; Apduhan, BO; Rocha, AMAC; Tarantino, E; Torre, CM		Danese, Maria; Gioia, Dario; Amodio, Antonio Minervino; Corrado, Giuseppe; Schiattarella, Marcello			A Spatial Method for the Geodiversity Fragmentation Assessment of Basilicata Region, Southern Italy	COMPUTATIONAL SCIENCE AND ITS APPLICATIONS, ICCSA 2021, PT III	Lecture Notes in Computer Science				21st International Conference on Computational Science and Its Applications (ICCSA)	SEP 13-16, 2021	Cagliari, ITALY	IEEE Italy Sect, IEEE Geoscience & Remote Sensing Soc, IEEE Comp Soc, Studium Gen Civitatis Perusii, Univ Stvdiorvm Caralitana, Univ Degli Studi Bascilicata, Monash Univ, Kyushu Sangyo Univ, Univ Minho, Escola Engn, Springer, MDPI Computers, Assoc Sci Infrastrutture Trasporto, Regione Autonoma Sardigna				The heterogeneity of the abiotic factor, or geodiversity, is an important issue for the landscape genetics. In this paper, a spatial method for the assessment of the geodiversity of Basilicata region in southern Italy is proposed through the use of fragmentation indexes. The fragmentation indices use the values derived from the overlay of three different maps: i) landform map; ii) climate map; iii) geological map. Three indexes have been applied to obtain the geodiversity of the study area: i) Shannon's diversity index (SHDI); ii) Shannon's Evenness Index (SHEI); iii) Simpson's Diversity Index (SIDI). The results show how the three indices offer similar results. High values of geodiversity can be observed: i) in the frontal sector of the chain; ii) where the complexity of the landscape forms is high. Low values of geodiversity are observed in the Ionian coast belt. These results can represent a basic but valuable tool for the delineation of the main macro-areas with different geodiversity values.					Corrado, Giuseppe/ABH-2839-2021	Danese, Maria/0000-0001-7414-5083; Schiattarella, Marcello/0000-0002-1143-6817; Minervino Amodio, Antonio/0000-0002-5930-491X; Corrado, Giuseppe/0000-0003-1077-4862													0302-9743	1611-3349	978-3-030-86970-0; 978-3-030-86969-4				2021	12951						620	631		10.1007/978-3-030-86970-0_43	http://dx.doi.org/10.1007/978-3-030-86970-0_43													WOS:000722406300043
J	Borda-de-Agua, L; Hubbell, SP; McAllister, M				Borda-de-Agua, L; Hubbell, SP; McAllister, M			Species-area curves, diversity indices, and species abundance distributions: A multifractal analysis	AMERICAN NATURALIST												Although fractals have been applied in ecology for some time, multifractals have, in contrast, received little attention. In this article, we apply multifractals to the species-area relationship and species abundance distributions. We highlight two results: first, species abundance distributions collected at different spatial scales may collapse into a single curve after appropriate renormalization, and second, the power-law form of the species-area relationship and the Shannon, Simpson, and Berger-Parker diversity indices belong to a family of equations relating the species number, species abundance, and area through the moments of the species abundance-probability density function. Explicit formulas for these diversity indices, as a function of area, are derived. Methods to obtain the multifractal spectra from a data set are discussed, and an example is shown with data on tree and shrub species collected in a 50-ha plot on Barro Colorado Island, Panama. Finally, we discuss the implications of the multifractal formalism to the relationship between species range and abundance and the relation between the shape of the species abundance distribution and area.					Sanders, Nathan J/A-6945-2009; Borda-de-Agua, Luis/D-6063-2011	Borda-de-Agua, Luis/0000-0002-0802-6235													0003-0147	1537-5323				FEB	2002	159	2					138	155		10.1086/324787	http://dx.doi.org/10.1086/324787								18707410					WOS:000173879300003
J	Arita, HT				Arita, Hector T.			Multisite and multispecies measures of overlap, co-occurrence, and co-diversity	ECOGRAPHY												Several indices measure the association or segregation between two species and the similarity or differentiation between two sets of species. These indices are based on the overlap in the distribution of species (measured with the number of co-occurrences) or on the overlap in species composition of sites (measured with the number of species that are shared between two sites). This paper shows that when evaluating more than two species the number of overlaps and the number of pairwise co-occurrences are not equal, as it is the case for two species. Equivalently, when comparing more than two species assemblages, the number of overlaps differ from the number of instances of species sharing by pairs of sites (the ` co-diversities'). Considering this distinction, two different types of multispecies and multisite indices can be derived: indices of general overlap and indices of co-occurrence or co-diversity. Here I present a complete series of the two types of indices that correspond to the popular Jaccard, Sorensen, and Simpson two-species or two-site indices. Indices of general overlap are defined by three parameters (the total number of species, the total number of sites, and the total number of occurrences), whereas indices of co-occurrence or co-diversity depend on those parameters plus an additional one that is defined by the values of species richness or range size. Consequently, the two types of indices respond differently to null models, depending on the parameters that are fixed or randomized. All indices correlate well with the mean of the traditional indices calculated pair by pair, and the correspondence is extremely close for the new indices of co-occurrence and co-diversity. These properties should be useful in clarifying some of the confusion that exists in the current discussion about the advantages and disadvantages of pairwise vs community-wide approaches in the analysis of diversity.					Arita, Héctor/AAH-5978-2020	Arita, Héctor/0000-0002-8097-7991													0906-7590	1600-0587				JUN	2017	40	6					709	718		10.1111/ecog.01942	http://dx.doi.org/10.1111/ecog.01942													WOS:000403075500004
J	Deng, YQ; Wang, H; Zhou, JY; Mou, YZ; Wang, GQ; Xiong, X				Deng, Yongqiong; Wang, Hong; Zhou, Jiyuan; Mou, Yunzhu; Wang, Guiqiang; Xiong, Xia			Patients with Acne Vulgaris Have a Distinct Gut Microbiota in Comparison with Healthy Controls	ACTA DERMATO-VENEREOLOGICA												Acne vulgaris has been postulated to have a gastrointestinal mechanism; however, little is known about gut microbiota dysfunction in this condition. The aim of this cross-sectional study was to investigate whether the gut microbiota is altered in acne. Faecal bacterial diversity was analysed in 43 patients with acne and 43 controls, using hypervariable tag sequencing of the V3-V4 region of the 16S rDNA gene. Distinct differences were found in microbial diversity between patients with acne and controls (Shannon diversity index (p = 0.009) and Simpson diversity index (p = 0.01)). At the phylum level, the abundance of Firmicutes was lower in the patient group, but that of Bacteroidiain was higher. The most significantly depleted taxa in acne were Clostridia, Clostridiales, Lachnospiraceae and Ruminococcaceae genera, which are potentially beneficial. In conclusion, patients with acne vulgaris have gut microbial dysbiosis; further study is needed to understand its role in the pathogenesis of acne.					Zhou, Ji-Yuan/HSD-9543-2023														0001-5555	1651-2057				SEP	2018	98	8					783	790		10.2340/00015555-2968	http://dx.doi.org/10.2340/00015555-2968								29756631					WOS:000442511400012
J	Maneechan, W; Prommi, TO				Maneechan, Witwisitpong; Prommi, Taeng On			Diversity of Edible Aquatic Insects Inhabiting Rice Fields in Central Thailand	INLAND WATER BIOLOGY												Rice fields occupy great biodiversity and support a variety of living organisms, including edible aquatic insects. The goal of this study was to assess the richness and diversity of edible aquatic insects living in rice fields. A sampling of aquatic insects and physico-chemical parameters of the rice field water were made after irrigation. Three replications of sampling by aquatic net were collected from the bottom along the edge of the rice plots. The richness and diversity indices were analyzed. A total of 10.501 individuals, comprising 64 genera of aquatic insects belonging to six orders, were collected at different study sites. Among aquatic insects, the order Hemiptera occupied the highest abundance of the total insects collected. Richness showed a range of 14 to 50. The Shannon-Wiener diversity index (H ') showed a range of 1.877 to 3.450, whereas Simpson`s diversity index (D) showed a range of 0.7665 to 0.9605. CCA and non-parametric Spearman correlation revealed that some insect species were correlated positively with pH, temperature, turbidity, alkalinity, and nutrients (nitrate and phosphate), and had a negative correlation with electrical conductivity and total dissolved solids.					MANEECHAN, Witwisitpong/HHD-0779-2022	MANEECHAN, Witwisitpong/0000-0002-7450-416X													1995-0829	1995-0837				2023 FEB	2023	16	1					1	9		10.1134/S199508292301008X	http://dx.doi.org/10.1134/S199508292301008X		NOV 2022											WOS:000890129800003
J	Hernandez-Stefanoni, JL; Ponce-Hernandez, R				Hernandez-Stefanoni, J. Luis; Ponce-Hernandez, Raul			Mapping the spatial variability of plant diversity in a tropical forest: Comparison of spatial interpolation methods	ENVIRONMENTAL MONITORING AND ASSESSMENT												Knowledge of the spatial distribution of plant species is essential to conservation and forest managers in order to identify high priority areas such as vulnerable species and habitats, and designate areas for reserves, refuges and other protected areas. A reliable map of the diversity of plant species over the landscape is an invaluable tool for such purposes. In this study, the number of species, the exponent Shannon and the reciprocal Simpson indices, calculated from 141 quadrat sites sampled in a tropical forest were used to compare the performance of several spatial interpolation techniques used to prepare a map of plant diversity, starting from sample ( point) data over the landscape. Means of mapped classes, inverse distance functions, kriging and co-kriging, both, applied over the entire studied landscape and also applied within vegetation classes, were the procedures compared. Significant differences in plant diversity indices between classes demonstrated the usefulness of boundaries between vegetation types, mapped through satellite image classification, in stratifying the variability of plant diversity over the landscape. These mapped classes, improved the accuracy of the interpolation methods when they were used as prior information for stratification of the area. Spatial interpolation by co-kriging performed among the poorest interpolators due to the poor correlation between the plant diversity variables and vegetation indices computed by remote sensing and used as covariables. This indicated that the latter are not suitable covariates of plant diversity indices. Finally, a within- class kriging interpolator yielded the most accurate estimates of plant diversity values. This interpolator not only provided the most accurate estimates by accounting for the indices' intra-class variability, but also provided additional useful interpretations of the structure of spatial variability of diversity values through the interpretation of their semi-variograms. This additional role was found very useful in aiding decisions in conservation planning.					Hernandez-Stefanoni, J Luis/B-3958-2008	Hernandez-Stefanoni, Jose Luis/0000-0002-9559-7131													0167-6369	1573-2959				JUN	2006	117	1-3					307	334		10.1007/s10661-006-0885-z	http://dx.doi.org/10.1007/s10661-006-0885-z								16917715					WOS:000239890200022
